id;booking_code;booking_time;status
1;Marketing;2021-02-20T20:11:53;Active
2;Vision-oriented Cambridgeshire;2021-02-20T22:44:17;Active
3;Avon Architect payment;2021-02-20T15:17:52;Inactive
4;navigate monitor;2021-02-20T15:51:08;Inactive
5;Faroe Islands Oklahoma;2021-02-20T15:39:38;Active
6;web-readiness Mobility;2021-02-21T06:47:12;Inactive
7;transmitting;2021-02-20T19:25:42;Inactive
8;end-to-end;2021-02-21T03:35:24;Inactive
9;Product white;2021-02-20T19:54:27;Active
10;pixel Direct AI;2021-02-20T10:34:45;Active
