id;court_code;court_name;status;club_court_type_id
1;Canadian Dollar;Buckinghamshire e-business;Active;1
2;Ergonomic Tennessee transmitting;Handcrafted Sudan;Active;2
3;backing up;engage deposit Libyan Dinar;Inactive;3
4;Facilitator;vertical Florida;Active;4
5;Innovative Road New York;hacking;Active;5
6;deposit Ergonomic vertical;Generic Rubber Pants Bedfordshire Ergonomic;Inactive;6
7;Versatile;Iowa Montenegro parse;Active;7
8;Table;dynamic;Active;8
9;Platinum redundant;web-enabled Awesome;Inactive;9
10;Towels cross-media Self-enabling;impactful Awesome Steel Chips;Inactive;10
