id;club_court_type_code;club_court_type_name;club_court_type_description;status
1;Berkshire Intelligent architect;purple;world-class;Active
2;eyeballs National mobile;HDD Generic Stravenue;Coordinator Salad;Active
3;JBOD;interface plum sensor;Kids Cambridgeshire;Inactive
4;program Trail Namibia;solution open-source;Metrics Outdoors plug-and-play;Inactive
5;UIC-Franc;optimize;generating;Active
6;Credit Card Account Concrete quantifying;program transform Total;encryption West Virginia Baby;Active
7;Future Bike;Buckinghamshire;Tasty Associate Cambridgeshire;Inactive
8;invoice;schemas Global B2B;Tactics;Inactive
9;Metrics parsing morph;Fantastic navigating Home;Unbranded;Active
10;Internal transmit Towels;Bedfordshire;Missouri;Inactive
