id;club_type_code;club_type_name;club_type_description;status
1;bleeding-edge eyeballs;indigo deposit;transmitter;Inactive
2;Checking Account Lithuanian Litas;ADP SMS bluetooth;Streamlined;Inactive
3;Bedfordshire circuit;bleeding-edge indigo;Buckinghamshire;Active
4;Borders Moldova Gorgeous Steel Keyboard;value-added productivity;Mouse United States Minor Outlying Islands;Active
5;New Hampshire;benchmark payment Sports;Coordinator District;Inactive
6;background Practical;algorithm redefine cross-platform;mission-critical Avon;Inactive
7;teal index;capacitor Proactive New Jersey;Liaison SCSI;Inactive
8;back up;Buckinghamshire Money Market Account Lempira;salmon Cambridgeshire;Inactive
9;Handcrafted Steel Chair rich 1080p;Optional Progressive Intelligent;deploy Group;Inactive
10;Applications interface Human;Fantastic rich;user-centric Health;Inactive
